Analyzing image "Jampack Summer 99.cue"...
000313f9 00000009 00004518 f XENA/DATA/LEVELS/06/TENTLIT.STM
00031402 00000001 0000050c f XENA/DATA/LEVELS/06/TENTLIT.TMD
00031403 00000001 00000800 d XENA/DATA/LEVSCR
00031404 0000004c 00025814 f XENA/DATA/LEVSCR/LOAD06.TIM
00031450 00000001 00000800 d XENA/DATA/MEDIA
00031451 00000320 001c8400 x XENA/DATA/MEDIA/989STUDI.STR
00031771 00000858 004c2300 x XENA/DATA/MEDIA/UNILOGO.STR
00031fc9 00002600 015ac000 x XENA/DATA/MEDIA/XA1.XA
000345c9 00000001 00000800 d XENA/DATA/PLRS
000345ca 00000001 00000800 d XENA/DATA/PLRS/ARCHER
000345cb 00000006 00002d1c f XENA/DATA/PLRS/ARCHER/ANIM.SMA
000345d1 00000001 000001fc f XENA/DATA/PLRS/ARCHER/ARCHER.SMI
000345d2 00000001 00000800 d XENA/DATA/PLRS/ARROW3
000345d3 00000001 0000001c f XENA/DATA/PLRS/ARROW3/ARROW3.SMI
000345d4 00000001 00000800 d XENA/DATA/PLRS/BANDIT
000345d5 0000002d 00016564 f XENA/DATA/PLRS/BANDIT/ANIM.SMA
00034602 00000001 000001b4 f XENA/DATA/PLRS/BANDIT/BANDIT.SMI
00034603 00000001 00000800 d XENA/DATA/PLRS/BLUR
00034604 00000001 0000001c f XENA/DATA/PLRS/BLUR/BLUR.SMI
00034605 00000001 00000800 d XENA/DATA/PLRS/BOULDER1
00034606 00000001 0000001c f XENA/DATA/PLRS/BOULDER1/BOULDER1.SMI
00034607 00000001 00000800 d XENA/DATA/PLRS/BOULDER2
00034608 00000001 0000001c f XENA/DATA/PLRS/BOULDER2/BOULDER2.SMI
00034609 00000001 00000800 d XENA/DATA/PLRS/BOULDER3
0003460a 00000001 0000001c f XENA/DATA/PLRS/BOULDER3/BOULDER3.SMI
0003460b 00000001 00000800 d XENA/DATA/PLRS/C1
0003460c 00000001 0000001c f XENA/DATA/PLRS/C1/C1.SMI
0003460d 00000001 00000800 d XENA/DATA/PLRS/CHAKRAM
0003460e 00000001 00000034 f XENA/DATA/PLRS/CHAKRAM/CHAKRAM.SMI
0003460f 00000001 00000800 d XENA/DATA/PLRS/CLINK
00034610 00000001 0000001c f XENA/DATA/PLRS/CLINK/CLINK.SMI
00034611 00000001 00000800 d XENA/DATA/PLRS/CONTINUE
00034612 00000001 0000001c f XENA/DATA/PLRS/CONTINUE/CONTINUE.SMI
00034613 00000001 00000800 d XENA/DATA/PLRS/DBCHAIN
00034614 00000001 0000001c f XENA/DATA/PLRS/DBCHAIN/DBCHAIN.SMI
00034615 00000001 00000800 d XENA/DATA/PLRS/DBRIDGE
00034616 00000001 0000001c f XENA/DATA/PLRS/DBRIDGE/DBRIDGE.SMI
00034617 00000001 00000800 d XENA/DATA/PLRS/DUST
00034618 00000001 00000768 f XENA/DATA/PLRS/DUST/DUST.STM
00034619 00000001 00000800 d XENA/DATA/PLRS/FIREBALL
0003461a 00000001 0000001c f XENA/DATA/PLRS/FIREBALL/FIREBALL.SMI
0003461b 00000001 00000800 d XENA/DATA/PLRS/FLAG
0003461c 00000001 00000536 f XENA/DATA/PLRS/FLAG/ANIM.SMA
0003461d 00000001 00000034 f XENA/DATA/PLRS/FLAG/FLAG.SMI
0003461e 00000001 00000800 d XENA/DATA/PLRS/LARK
0003461f 00000001 000003c8 f XENA/DATA/PLRS/LARK/ANIM.SMA
00034620 00000001 00000034 f XENA/DATA/PLRS/LARK/LARK.SMI
00034621 00000001 00000800 d XENA/DATA/PLRS/LEAF
00034622 00000001 0000001c f XENA/DATA/PLRS/LEAF/LEAF.SMI
00034623 00000001 00000800 d XENA/DATA/PLRS/P_FROST2
00034624 00000001 0000001c f XENA/DATA/PLRS/P_FROST2/P_FROST2.SMI
00034625 00000001 00000800 d XENA/DATA/PLRS/RAIN2
00034626 00000001 0000001c f XENA/DATA/PLRS/RAIN2/RAIN2.SMI
00034627 00000001 00000800 d XENA/DATA/PLRS/SHADBIRD
00034628 00000001 0000001c f XENA/DATA/PLRS/SHADBIRD/SHADBIRD.SMI
00034629 00000001 00000800 d XENA/DATA/PLRS/SHADOW
0003462a 00000001 00000034 f XENA/DATA/PLRS/SHADOW/SHADOW.SMI
0003462b 00000001 00000800 d XENA/DATA/PLRS/SHADOW2
0003462c 00000001 00000034 f XENA/DATA/PLRS/SHADOW2/SHADOW2.SMI
0003462d 00000001 00000800 d XENA/DATA/PLRS/TENT
0003462e 00000001 0000027c f XENA/DATA/PLRS/TENT/TENT.CLS
0003462f 00000001 0000004c f XENA/DATA/PLRS/TENT/TENT.SMI
00034630 00000001 00000800 d XENA/DATA/PLRS/TENTLIT
00034631 00000001 0000027c f XENA/DATA/PLRS/TENTLIT/TENTLIT.CLS
00034632 00000001 0000004c f XENA/DATA/PLRS/TENTLIT/TENTLIT.SMI
00034633 00000001 00000800 d XENA/DATA/PLRS/XENA
00034634 0000005c 0002dca8 f XENA/DATA/PLRS/XENA/ANIM.SMA
00034690 00000001 0000031c f XENA/DATA/PLRS/XENA/XENA.SMI
00034691 00000001 00000800 d XENA/DATA/SCREENS
00034692 00000001 00000320 f XENA/DATA/SCREENS/1ICBRSK.TIM
00034693 00000001 00000320 f XENA/DATA/SCREENS/1ICDETH.TIM
00034694 00000001 00000320 f XENA/DATA/SCREENS/1ICFIRE.TIM
00034695 00000001 00000320 f XENA/DATA/SCREENS/1ICLTNG.TIM
00034696 00000001 00000320 f XENA/DATA/SCREENS/1ICLYRE.TIM
00034697 00000001 00000320 f XENA/DATA/SCREENS/1ICROCK.TIM
00034698 00000001 00000320 f XENA/DATA/SCREENS/1ICSNOW.TIM
00034699 00000002 00000874 f XENA/DATA/SCREENS/1XENACHK.TIM
0003469b 00000001 00000190 f XENA/DATA/SCREENS/BLOOD.TIM
0003469c 00000002 00000b20 f XENA/DATA/SCREENS/CHACKRUM.TIM
0003469e 00000001 00000430 f XENA/DATA/SCREENS/DAGGER.TIM
0003469f 00000001 00000148 f XENA/DATA/SCREENS/DAGGERED.TIM
000346a0 0000004c 00025814 f XENA/DATA/SCREENS/DD_AVAIL.TIM
000346ec 0000004c 00025814 f XENA/DATA/SCREENS/DD_CNTRL.TIM
00034738 0000004c 00025814 f XENA/DATA/SCREENS/DD_MKTG.TIM
00034784 0000004c 00025814 f XENA/DATA/SCREENS/DD_TITLE.TIM
000347d0 00000001 000003a8 f XENA/DATA/SCREENS/HILT.TIM
000347d1 0000004c 00025814 f XENA/DATA/SCREENS/LOGO1.TIM
0003481d 00000001 00000338 f XENA/DATA/SCREENS/MAN_ICON.TIM
0003481e 0000004c 00025814 f XENA/DATA/SCREENS/START.TIM
0003486a 00000001 00000190 f XENA/DATA/SCREENS/SWORD.TIM
0003486b 0000004c 00025814 f XENA/DATA/SCREENS/TITLE.TIM
000348b7 00000009 00004040 f XENA/DATA/SCREENS/XENAFONT.TIM
000348c0 00000001 00000800 d XENA/DATA/SND
000348c1 00000049 00024160 f XENA/DATA/SND/CORE.VB
0003490a 00000013 00009020 f XENA/DATA/SND/CORE.VH
0003491d 0000001d 0000e3f3 f XENA/DATA/SND/M_VALAR.SEP
0003493a 00000060 0002fd10 f XENA/DATA/SND/M_VALAR.VB
0003499a 00000006 00002a20 f XENA/DATA/SND/M_VALAR.VH
000349a0 0000000e 00006802 f XENA/DATA/SND/M_VILL.SEP
000349ae 00000074 00039e80 f XENA/DATA/SND/M_VILL.VB
00034a22 00000006 00002820 f XENA/DATA/SND/M_VILL.VH
00034a28 00000012 00008e20 f XENA/DATA/SND/NPCM.VB
00034a3a 00000004 00001a20 f XENA/DATA/SND/NPCM.VH
00034a3e 00000012 00008a90 f XENA/DATA/SND/VALARIAN.VB
00034a50 00000003 00001220 f XENA/DATA/SND/VALARIAN.VH
00034a53 00000001 00000800 d R4DEMO
00034a54 00000139 0009c800 f R4DEMO/R4DEMO.EXE
00034b8d 00004b50 025a8000 f R4DEMO/R4.BIN
000396dd 00002438 014a7f00 x R4DEMO/R4.STR
0003bb15 00000001 00000800 d PROSKATE
0003bb16 0000011e 0008f000 f PROSKATE/PROSKATE.EXE
0003bc34 00000001 000001a1 f PROSKATE/CD.HED
0003bc35 00000ae7 00573800 f PROSKATE/CD.WAD
0003c71c 00002360 0142cc00 x PROSKATE/411.STR
0003ea7c 00000001 00000800 d X3
0003ea7d 00000053 000290c0 f X3/ANIM.ANM
0003ead0 000000fa 0007ca00 f X3/SBUT.SND
0003ebca 0000004c 00025814 f X3/TITLE.TIM
0003ec16 00000320 001c8400 x X3/989STUDI.STR
0003ef36 00000127 000935f8 f X3/ERV3HI01.TER
0003f05d 00000067 00033450 f X3/ERV3HI02.TER
0003f0c4 0000005a 0002cd58 f X3/ERV3HI03.TER
0003f11e 00000053 00029700 f X3/ERV3HI04.TER
0003f171 00000066 00032ba8 f X3/ERV3HI05.TER
0003f1d7 0000005d 0002e53c f X3/ERV3HI06.TER
0003f234 0000005e 0002e91c f X3/ERV3HI07.TER
0003f292 00000053 000290d0 f X3/ERV3HI08.TER
0003f2e5 00000047 000231bc f X3/ERV3HI09.TER
0003f32c 0000004c 00025b94 f X3/ERV3HI10.TER
0003f378 0000004c 00025aa0 f X3/ERV3HI11.TER
0003f3c4 0000005d 0002e354 f X3/ERV3HI12.TER
0003f421 00000062 00030d28 f X3/ERV3HI13.TER
0003f483 00000062 00030d24 f X3/ERV3HI14.TER
0003f4e5 0000004d 00026088 f X3/ERV3HI15.TER
0003f532 00000052 00028a08 f X3/ERV3HI16.TER
0003f584 00000010 00007c46 f X3/SCRBKD.TER
0003f594 0000008a 00044c84 f X3/TRACKS.IMG
0003f61e 00000100 00080000 f X3/GAME.EXE
0003f71e 00000026 000129fd f X3/PLAYER1.GUY
0003f744 0000000f 00007470 f X3/P24BIT.GUY
0003f753 0000000f 00007638 f X3/P84BIT.GUY
0003f762 0000000f 00007630 f X3/P74BIT.GUY
0003f771 0000000f 0000723c f X3/P94BIT.GUY
0003f780 0000000f 000072bc f X3/P114BIT.GUY
0003f78f 00000001 00000800 d GYAMON
0003f790 000000a0 00050000 f GYAMON/GYAMON.EXE
0003f830 00000006 00002e6e f GYAMON/GYAMON.CCS
0003f836 00000025 000122b2 f GYAMON/GYAMON.SYM
0003f85b 00000001 00000800 d GYAMON/BATTLE
0003f85c 00000013 00009488 f GYAMON/BATTLE/BALL.DAT
0003f86f 00000001 00000006 f GYAMON/BATTLE/CARD.DAT
0003f870 00000004 00001a90 f GYAMON/BATTLE/LOADING.TIM
0003f874 00000026 00012b22 f GYAMON/BATTLE/MONBOOK.TIM
0003f89a 000004c6 00263000 f GYAMON/BATTLE/MO_TMO.ACB
0003fd60 00000443 00221800 f GYAMON/BATTLE/MO_TOD.ACB
