Analyzing image "(PSX) Official UK PlayStation Magazine Euro Demo 82 (SCED-03785).cue"...
     LBN   NumSec     Size T Path
0000c1ca 00000015 0000a2b4 f TC/DATA/TWAL/L1_LEAD2.TWA
0000c1df 00000072 00038bf0 f TC/DATA/TWAL/L1_OPEN.TWA
0000c251 0000007f 0003f24c f TC/DATA/TWAL/LEV1A1.TWA
0000c2d0 00000070 00037a84 f TC/DATA/TWAL/LEV1END.TWA
0000c340 00000014 00009fd8 f TC/DATA/TWAL/LEV1IN.TWA
0000c354 00000078 0003bf48 f TC/DATA/TWAL/LEV1OP.TWA
0000c3cc 00000052 00028a90 f TC/DATA/TWAL/LEVEL2.TWA
0000c41e 00000040 0001f914 f TC/DATA/TWAL/LEVELTST.TWA
0000c45e 00000004 00001c40 f TC/DATA/TWAL/LEVRAPID.TWA
0000c462 00000023 000110d8 f TC/DATA/TWAL/LEVWATER.TWA
0000c485 00000001 00000800 d SSFQ
0000c486 00000160 000b0000 f SSFQ/SSFQ.EXE
0000c5e6 000045de 022ef000 f SSFQ/SSFQ.STY
00010bc4 00000001 000000b7 f SSFQ/SSFQ.DSD
00010bc5 0000018b 000c5800 f PONG.EXE
00010d50 00000001 00000800 d LES02020
00010d51 00000001 00000800 d LES02020/FIRE
00010d52 00000101 00080016 f LES02020/FIRE/FIRE.TIM
00010e53 00000005 00002340 f LES02020/FIRE/FIRE2.CON
00010e58 00000029 00014250 f LES02020/FIRE/FIRE2.LEV
00010e81 00000044 00021e80 f LES02020/FIRE/FIRE2.PNG
00010ec5 00000001 00000800 d LES02020/FUN
00010ec6 00000005 00002028 f LES02020/FUN/DOME.CON
00010ecb 00000029 00014250 f LES02020/FUN/DOME.LEV
00010ef4 00000044 00021e80 f LES02020/FUN/DOME.PNG
00010f38 00000101 00080016 f LES02020/FUN/DOME.TIM
00011039 00000001 00000800 d LES02020/ICE
0001103a 00000101 00080016 f LES02020/ICE/ICE.TIM
0001113b 00000006 00002bfc f LES02020/ICE/ICE1.CON
00011141 00000029 00014250 f LES02020/ICE/ICE1.LEV
0001116a 00000044 00021e80 f LES02020/ICE/ICE1.PNG
