Analyzing image "[PSX] Play Fun 10-99 [SLED-02291] [G].cue"...
     LBN   NumSec     Size T Path
00002c32 00000002 00001000 d RUGRATS/DATA/MENU/TIMS
00002c34 0000000f 000070b8 f RUGRATS/DATA/MENU/TIMS/AISLE02.BS
00002c43 0000000e 00006e0c f RUGRATS/DATA/MENU/TIMS/AISLE05.BS
00002c51 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/ANGEYES.TIM
00002c55 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/ANGMOUTH.TIM
00002c58 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/CHUEYES.TIM
00002c5c 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/CHUMOUTH.TIM
00002c5f 0000000d 000061e4 f RUGRATS/DATA/MENU/TIMS/CYN00.BS
00002c6c 0000000c 00005954 f RUGRATS/DATA/MENU/TIMS/CYN01.BS
00002c78 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/DIDEYES.TIM
00002c79 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/DIDMOUTH.TIM
00002c7c 0000000e 00006cf0 f RUGRATS/DATA/MENU/TIMS/ENG1.BS
00002c8a 0000000e 00006c28 f RUGRATS/DATA/MENU/TIMS/ENG2.BS
00002c98 0000000f 0000708c f RUGRATS/DATA/MENU/TIMS/ENG3.BS
00002ca7 0000000e 00006c7c f RUGRATS/DATA/MENU/TIMS/ENG4.BS
00002cb5 0000000e 00006aa4 f RUGRATS/DATA/MENU/TIMS/ENG5.BS
00002cc3 0000000e 00006c94 f RUGRATS/DATA/MENU/TIMS/ENG6.BS
00002cd1 0000000f 00007384 f RUGRATS/DATA/MENU/TIMS/ENG7.BS
00002ce0 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/GPAMOUTH.TIM
00002ce3 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/GREYES.TIM
00002ce4 0000000f 000075d0 f RUGRATS/DATA/MENU/TIMS/HOUSE00.BS
00002cf3 0000000f 00007174 f RUGRATS/DATA/MENU/TIMS/HOUSE01.BS
00002d02 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/LAREYES.TIM
00002d03 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/LARMOUTH.TIM
00002d06 00000011 000080d4 f RUGRATS/DATA/MENU/TIMS/LEGAL512.BS
00002d17 0000000f 00007050 f RUGRATS/DATA/MENU/TIMS/NICK512.BS
00002d26 0000000d 000065dc f RUGRATS/DATA/MENU/TIMS/NSPAC512.BS
00002d33 0000000f 00007494 f RUGRATS/DATA/MENU/TIMS/REPTAR02.BS
00002d42 0000000d 000066ec f RUGRATS/DATA/MENU/TIMS/REPTAR03.BS
00002d4f 00000006 00002c40 f RUGRATS/DATA/MENU/TIMS/SQUIRT.TIM
00002d55 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/STEMOUTH.TIM
00002d58 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/STEVEYES.TIM
00002d59 00000028 00013840 f RUGRATS/DATA/MENU/TIMS/STRIP.TIM
00002d81 00000001 00000640 f RUGRATS/DATA/MENU/TIMS/STUEYES.TIM
00002d82 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/STUMOUTH.TIM
00002d85 0000000d 000062e0 f RUGRATS/DATA/MENU/TIMS/TEETH00.BS
00002d92 0000000e 00006e9c f RUGRATS/DATA/MENU/TIMS/TEETH01.BS
00002da0 00000006 00002e74 f RUGRATS/DATA/MENU/TIMS/THQ512.BS
00002da6 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/TOMEYES.TIM
00002daa 00000003 00001440 f RUGRATS/DATA/MENU/TIMS/TOMMOUTH.TIM
00002dad 00000004 00001840 f RUGRATS/DATA/MENU/TIMS/TWEYES.TIM
00002db1 0000000f 00007550 f RUGRATS/DATA/MENU/TIMS/VISIT02.BS
00002dc0 0000000f 00007528 f RUGRATS/DATA/MENU/TIMS/VISIT03.BS
00002dcf 00000016 0000ac2c f RUGRATS/DATA/MENU/TIMS/WARNING.BS
00002de5 00000001 00000800 d RUGRATS/DATA/SOUND
00002de6 00000001 00000800 d RUGRATS/DATA/SOUND/SEPS
00002de7 00000009 0000453c f RUGRATS/DATA/SOUND/SEPS/AISLE7.SEP
00002df0 00000006 00002c01 f RUGRATS/DATA/SOUND/SEPS/CIRCUS.SEP
00002df6 0000000a 00004f2c f RUGRATS/DATA/SOUND/SEPS/GTEETH.SEP
00002e00 0000000e 00006ed9 f RUGRATS/DATA/SOUND/SEPS/HOUSE.SEP
00002e0e 00000001 00000378 f RUGRATS/DATA/SOUND/SEPS/INTRO.SEP
00002e0f 0000000b 00005063 f RUGRATS/DATA/SOUND/SEPS/RUGRATS.SEP
00002e1a 00000001 00000800 d RUGRATS/DATA/SOUND/VAB
00002e1b 00000041 00020230 f RUGRATS/DATA/SOUND/VAB/AISLE7.VB
00002e5c 00000006 00002820 f RUGRATS/DATA/SOUND/VAB/AISLE7.VH
00002e62 00000028 00013d70 f RUGRATS/DATA/SOUND/VAB/CIRCUS.VB
00002e8a 00000005 00002020 f RUGRATS/DATA/SOUND/VAB/CIRCUS.VH
00002e8f 00000036 0001aea0 f RUGRATS/DATA/SOUND/VAB/DB00SFX.VB
00002ec5 00000005 00002020 f RUGRATS/DATA/SOUND/VAB/DB00SFX.VH
00002eca 00000040 0001f9b0 f RUGRATS/DATA/SOUND/VAB/DB02SFX.VB
00002f0a 00000006 00002a20 f RUGRATS/DATA/SOUND/VAB/DB02SFX.VH
00002f10 00000044 00021e10 f RUGRATS/DATA/SOUND/VAB/DB24SFX.VB
00002f54 00000006 00002a20 f RUGRATS/DATA/SOUND/VAB/DB24SFX.VH
00002f5a 00000029 00014760 f RUGRATS/DATA/SOUND/VAB/DB25SFX.VB
00002f83 00000006 00002a20 f RUGRATS/DATA/SOUND/VAB/DB25SFX.VH
00002f89 00000039 0001c150 f RUGRATS/DATA/SOUND/VAB/DB28SFX.VB
00002fc2 00000006 00002a20 f RUGRATS/DATA/SOUND/VAB/DB28SFX.VH
00002fc8 0000003b 0001d2d0 f RUGRATS/DATA/SOUND/VAB/GTEETH.VB
00003003 00000006 00002820 f RUGRATS/DATA/SOUND/VAB/GTEETH.VH
00003009 0000003e 0001ea60 f RUGRATS/DATA/SOUND/VAB/HOUSE.VB
00003047 00000005 00002220 f RUGRATS/DATA/SOUND/VAB/HOUSE.VH
0000304c 00000023 00011400 f RUGRATS/DATA/SOUND/VAB/INTRO.VB
0000306f 00000003 00001020 f RUGRATS/DATA/SOUND/VAB/INTRO.VH
00003072 000000ae 00056bf0 f RUGRATS/DATA/SOUND/VAB/MENU.VB
00003120 00000003 00001620 f RUGRATS/DATA/SOUND/VAB/MENU.VH
00003123 00000001 00000800 d RUGRATS/DATA/SOUND/XA
00003124 00000b88 00693900 x RUGRATS/DATA/SOUND/XA/DB02.ISF
00003cac 00001888 00dfd900 x RUGRATS/DATA/SOUND/XA/DB08.ISF
00005534 00000001 00000800 d CMRALLY
00005535 00000146 000a3000 f CMRALLY/CMRALLY.EXE
0000567b 00000051 00028014 f CMRALLY/LEGAL.TIM
000056cc 00000001 00000800 d CMRALLY/CARS
000056cd 00000001 00000800 d CMRALLY/CARS/SUBARU
000056ce 00000017 0000b0f0 f CMRALLY/CARS/SUBARU/DAY.BFX
000056e5 0000001a 0000ca08 f CMRALLY/CARS/SUBARU/DAYTIM.BFX
000056ff 0000006f 00037088 f CMRALLY/CARS/SUBARU/SOUNDS.BFX
0000576e 00000001 00000800 d CMRALLY/GAME
0000576f 00000055 0002a318 f CMRALLY/GAME/ENG.BFX
000057c4 00000003 0000134f f CMRALLY/GAME/ENGLISH.TXT
000057c7 0000001f 0000f658 f CMRALLY/GAME/OSD.BFX
000057e6 00000001 00000800 d CMRALLY/OPM
000057e7 0000005d 0002e014 f CMRALLY/OPM/CONTROLS.TIM
00005844 00000081 00040014 f CMRALLY/OPM/TEXT001.TIM
000058c5 00000081 00040014 f CMRALLY/OPM/TEXT002.TIM
00005946 00000081 00040014 f CMRALLY/OPM/TEXT003.TIM
000059c7 0000005d 0002e014 f CMRALLY/OPM/TITLE.TIM
00005a24 00000001 00000800 d CMRALLY/SETUP
00005a25 00000021 00010720 f CMRALLY/SETUP/AUSTRALI.BFX
00005a46 0000001d 0000e63c f CMRALLY/SETUP/MONACO.BFX
00005a63 0000001d 0000e63c f CMRALLY/SETUP/NZ.BFX
00005a80 00000038 0001bea4 f CMRALLY/SETUP/SETUPREP.BFX
00005ab8 00000001 00000800 d CMRALLY/TRACKS
00005ab9 00000001 00000800 d CMRALLY/TRACKS/AUSTRALI
00005aba 0000016c 000b5d48 f CMRALLY/TRACKS/AUSTRALI/5.BFX
00005c26 00000083 000415e0 f CMRALLY/TRACKS/AUSTRALI/5.LOA
00005ca9 0000000e 00006c46 f CMRALLY/TRACKS/AUSTRALI/5.REP
00005cb7 0000015c 000adfd8 f CMRALLY/TRACKS/AUSTRALI/5.VRM
00005e13 00000001 00000800 d CMRALLY/TRACKS/MONACO
00005e14 00000149 000a41f0 f CMRALLY/TRACKS/MONACO/3.BFX
00005f5d 00000083 000415e0 f CMRALLY/TRACKS/MONACO/3.LOA
00005fe0 0000015e 000aeb08 f CMRALLY/TRACKS/MONACO/3.VRM
0000613e 00000001 00000800 d CMRALLY/TRACKS/NZ
0000613f 00000141 000a0514 f CMRALLY/TRACKS/NZ/3.BFX
00006280 00000083 000415e0 f CMRALLY/TRACKS/NZ/3.LOA
00006303 0000015c 000ad808 f CMRALLY/TRACKS/NZ/3.VRM
0000645f 00000001 00000800 d GDARIUS
00006460 000022b8 013ccf00 x GDARIUS/BGM.XA
00008718 00000138 0009c000 f GDARIUS/GDARIUS.EXE
00008850 00000001 00000800 d GDARIUS/COM
00008851 00000052 00028d68 f GDARIUS/COM/DEMO.BIN
000088a3 0000001f 0000f737 f GDARIUS/COM/DEMO.TIL
000088c2 00000002 00000a60 f GDARIUS/COM/DUMMY.VB
000088c4 00000002 00000e20 f GDARIUS/COM/DUMMY.VH
000088c6 00000001 00000100 f GDARIUS/COM/JIGEN.BGL
000088c7 00000085 00042180 f GDARIUS/COM/MAIN.VB
0000894c 0000000a 00004820 f GDARIUS/COM/MAIN.VH
00008956 00000042 00020cde f GDARIUS/COM/MENU.TIL
00008998 0000000d 0000653b f GDARIUS/COM/ONCE.QMD
000089a5 0000003c 0001d875 f GDARIUS/COM/ONCE.TIL
000089e1 00000012 00008e10 f GDARIUS/COM/SIGNATE.VB
000089f3 00000002 00000e20 f GDARIUS/COM/SIGNATE.VH
000089f5 00000006 00002da5 f GDARIUS/COM/SPACE.QMD
000089fb 00000001 00000199 f GDARIUS/COM/SPACE.TIL
000089fc 0000003c 0001e000 f GDARIUS/COM/TITLE.VB
00008a38 00000004 00001c20 f GDARIUS/COM/TITLE.VH
00008a3c 0000000b 00005555 f GDARIUS/COM/WARN.TIL
00008a47 0000002b 00015130 f GDARIUS/COM/WARNING.VB
00008a72 00000003 00001620 f GDARIUS/COM/WARNING.VH
00008a75 00000001 00000800 d GDARIUS/R01
00008a76 0000001b 0000d0d0 f GDARIUS/R01/ALPHA1.VB
00008a91 00000003 00001220 f GDARIUS/R01/ALPHA1.VH
00008a94 00000023 00011600 f GDARIUS/R01/ALPHA2.VB
00008ab7 00000003 00001620 f GDARIUS/R01/ALPHA2.VH
00008aba 00000002 00000e10 f GDARIUS/R01/DEMOP01.DEM
00008abc 00000003 000013b0 f GDARIUS/R01/R01.BGL
00008abf 00000003 00001758 f GDARIUS/R01/R01.MAP
00008ac2 00000037 0001b001 f GDARIUS/R01/R01.QMD
00008af9 0000007d 0003e10c f GDARIUS/R01/R01.TIL
00008b76 00000001 00000634 f GDARIUS/R01/R01A.MAP
00008b77 00000031 0001859d f GDARIUS/R01/R01A.QMD
00008ba8 00000001 000005f0 f GDARIUS/R01/R01B.MAP
00008ba9 00000014 00009985 f GDARIUS/R01/R01B.QMD
00008bbd 0000000d 000066fd f GDARIUS/R01/R01BOSS.QMD
00008bca 00000030 00017d90 f GDARIUS/R01/R01BOSS.TIL
00008bfa 00000001 0000073f f GDARIUS/R01/R01BOSS2.TIL
00008bfb 00000017 0000b34f f GDARIUS/R01/R01BOSSA.CHS
00008c12 00000018 0000bbc5 f GDARIUS/R01/R01BOSSB.CHS
00008c2a 00000002 0000082e f GDARIUS/R01/R01JKO.QMD
00008c2c 00000010 00007a35 f GDARIUS/R01/ZAKO01.QMD
00008c3c 00000067 00033764 f GDARIUS/R01/ZONE1.BIN
00008ca3 00000001 00000800 d GDARIUS/R11
00008ca4 00000009 00004740 f GDARIUS/R11/LAMDA1.VB
00008cad 00000002 00000e20 f GDARIUS/R11/LAMDA1.VH
00008caf 00000001 00000800 d PROSKATE
00008cb0 00002360 0142cc00 x PROSKATE/411.STR
0000b010 00000001 000001d1 f PROSKATE/CD.HED
0000b011 00000c7c 0063e000 f PROSKATE/CD.WAD
0000bc8d 0000011f 0008f800 f PROSKATE/PROSKATE.EXE
0000bdac 00000001 00000800 d NOFEAR
0000bdad 00001ad8 00f4f300 x NOFEAR/NFMUS1.XA
0000d885 0000167c 00cd2b80 x NOFEAR/NFMUS2.XA
0000ef01 00000164 000b2000 f NOFEAR/NOFEAR.EXE
0000f065 00000896 0044b000 f NOFEAR/NOFEAR.IMG
0000f8fb 00000002 00000e60 f NOFEAR/NOFEAR.TOC
0000f8fd 00000001 00000800 d VIDEO
0000f8fe 00003f08 023f2900 x VIDEO/WUTANG.STR
00013806 00003aa0 0216f400 x VIDEO/CASTROL.STR
000172a6 00003480 01df1000 x VIDEO/MOTO.STR
0001a726 000045a8 027b9d00 x VIDEO/EXT500.STR
0001ecce 00003b10 021af200 x VIDEO/NASEEM.STR
000227de 00003ce7 01e73050 f NULL3M1S.DAT
